id,customer_id,order_number,created_at,modified_at,order_total,total_qty_ordered
84.0,4,A1207000094216,2016-12-07 13:42:55,2021-07-06 15:54:46,3350.0,1.0
323.0,4,BOU128713,2016-12-13 14:32:00,2021-07-06 15:54:46,2125.0,1.0
353.0,4,BOU1214713,2016-12-13 16:59:57,2021-07-06 15:54:46,8225.0,4.0
1364.0,4,BOB 311527.00,2017-03-27 17:35:47,2021-07-06 15:54:46,380.0,1.0
1366.0,4,BOB 311927.00,2017-03-27 18:09:21,2021-07-06 15:54:46,2755.0,1.0
1750.0,4,BOU06701,2017-06-01 11:36:42,2021-07-06 15:54:46,3125.0,1.0
1756.0,4,BOU061901,2017-06-01 14:22:30,2021-07-06 15:54:46,4265.0,1.0
1767.0,4,BOU06306,2017-06-06 10:10:17,2021-07-06 15:54:46,1625.0,1.0
1804.0,4,BOU06311,2017-06-11 17:53:25,2021-07-06 15:54:46,210.0,1.0
1814.0,4,BOU06714,2017-06-14 10:51:18,2021-07-06 15:54:46,2545.0,1.0
1852.0,4,BOU06315,2017-06-15 08:12:48,2021-07-06 15:54:46,2545.0,1.0
1853.0,4,BOB 6515.00,2017-06-15 08:16:25,2021-07-06 15:54:46,240.0,1.0
1854.0,4,BOU06715,2017-06-15 08:18:25,2021-07-06 15:54:46,455.0,1.0
2629.0,4,BOS0810113,2017-08-13 15:50:51,2021-07-06 15:54:46,2125.0,1.0
5452.0,4,BOU035312,2018-03-12 15:02:40,2021-07-06 15:54:46,100.0,1.0
414.0,5,BOU12319,2016-12-19 17:12:21,2021-07-06 15:54:46,4020.0,2.0
1591.0,5,BOU042725,2017-04-25 11:00:18,2021-07-06 15:54:46,4400.0,1.0
207937.0,5,BOS117307,2019-11-07 15:33:41,2021-07-06 15:54:46,5850.0,1.0
112.0,6,BOU122709,2016-12-09 23:19:14,2021-07-06 15:54:46,600.0,1.0
121.0,6,BOU121710,2016-12-10 11:40:17,2021-07-06 15:54:46,6584.04,3.0
,6,BOU126910,2016-12-10 15:57:33,2021-07-06 15:54:46,6625.0,2.0
7726.0,6,BOU102107,2018-10-07 15:36:16,2021-07-06 15:54:46,2401.19,1.0
93.0,7,A1208000105289,2016-12-08 17:41:34,2021-07-06 15:54:46,2330.0,1.0
196.0,7,BOU124511,2016-12-11 21:12:42,2021-07-06 15:54:46,3350.0,1.0
1886.0,7,BOU06519,2017-06-19 11:55:45,2021-07-06 15:54:46,1350.0,1.0
7181.0,10,BOU091710,2018-09-10 17:10:19,2021-07-06 15:54:46,1601.19,1.0
9725.0,10,BOU01191638,2019-01-16 11:41:53,2021-07-06 15:54:46,2645.0,1.0
204214.0,10,BOU071271478,2019-07-14 15:28:05,2021-07-06 15:54:46,1500.0,1.0
208281.0,10,BFOU1151321,2019-11-13 10:01:43,2021-07-06 15:54:46,3925.0,1.0
213976.0,10,BOU04290827,2020-04-08 10:51:15,2021-07-06 15:54:46,705.0,1.0
214036.0,10,BOU041510849,2020-04-08 16:56:25,2021-07-06 15:54:46,705.0,1.0
214039.0,10,BOU041570895,2020-04-08 17:44:50,2021-07-06 15:54:46,1360.0,1.0
186.0,13,BOU122511,2016-12-11 16:30:23,2021-07-06 15:54:46,1875.0,1.0
567.0,13,BOU011505,2017-01-05 14:44:20,2021-07-06 15:54:46,2935.0,1.0
9.0,14,A1123000010463,2016-11-23 16:12:16,2021-07-06 15:54:46,2705.0,1.0
32.0,14,A1128000039472,2016-11-28 14:06:44,2021-07-06 15:54:46,360.56,1.0
33.0,14,A1128000040759,2016-11-28 14:12:28,2021-07-06 15:54:46,240.07,1.0
34.0,14,A1128000041460,2016-11-28 14:28:08,2021-07-06 15:54:46,4310.9,1.0
40.0,14,A1129000047370,2016-11-29 11:07:38,2021-07-06 15:54:46,980.0,1.0
668.0,14,BOU02701,2017-02-01 09:59:49,2021-07-06 15:54:46,5275.0,1.0
114.0,16,BOU12310,2016-12-10 07:49:29,2021-07-06 15:54:46,2550.0,1.0
115.0,16,BOU12510,2016-12-10 07:50:25,2021-07-06 15:54:46,2575.0,1.0
151.0,16,BOU127710,2016-12-10 16:50:08,2021-07-06 15:54:46,9800.0,2.0
195.0,16,BOU124311,2016-12-11 21:06:04,2021-07-06 15:54:46,5700.0,4.0
506.0,16,481,2016-12-30 11:43:34,2021-07-06 15:54:46,7675.0,3.0
