[2025-06-06T10:09:16.092+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-06T10:09:16.358+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_landing.trigger_etl_ods_dag scheduled__2025-06-05T00:00:00+00:00 [queued]>
[2025-06-06T10:09:16.375+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_landing.trigger_etl_ods_dag scheduled__2025-06-05T00:00:00+00:00 [queued]>
[2025-06-06T10:09:16.376+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-06-06T10:09:16.395+0000] {taskinstance.py:2330} INFO - Executing <Task(TriggerDagRunOperator): trigger_etl_ods_dag> on 2025-06-05 00:00:00+00:00
[2025-06-06T10:09:16.406+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=427) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-06-06T10:09:16.408+0000] {standard_task_runner.py:63} INFO - Started process 429 to run task
[2025-06-06T10:09:16.406+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'etl_landing', 'trigger_etl_ods_dag', 'scheduled__2025-06-05T00:00:00+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/etl_landing/dag.py', '--cfg-path', '/tmp/tmp0lnlmuu7']
[2025-06-06T10:09:16.409+0000] {standard_task_runner.py:91} INFO - Job 41: Subtask trigger_etl_ods_dag
[2025-06-06T10:09:16.473+0000] {task_command.py:426} INFO - Running <TaskInstance: etl_landing.trigger_etl_ods_dag scheduled__2025-06-05T00:00:00+00:00 [running]> on host b168fc67a480
[2025-06-06T10:09:16.597+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='etl_landing' AIRFLOW_CTX_TASK_ID='trigger_etl_ods_dag' AIRFLOW_CTX_EXECUTION_DATE='2025-06-05T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-06-05T00:00:00+00:00'
[2025-06-06T10:09:16.600+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-06T10:09:21.603+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:213 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.606+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:260 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.611+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1189 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.614+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1291 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.616+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1318 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.619+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1458 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.621+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1495 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.623+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1556 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.625+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1746 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.628+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1817 SyntaxWarning: invalid escape sequence '\d'
